FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
troublantes,11,ADJ,,,,,,,,,4,0.21,0.72,38.55,4,0.17,0.43,36.31
trouble,7,ADJ,1,0.00,0.61,37.86,1,0.00,0.20,33.09,7,0.47,2.48,43.94,5,0.40,1.10,40.41
trouble,7,VER,,,,,1,0.00,0.20,33.09,4,0.42,1.28,41.07,5,0.40,1.10,40.43
trouble,7,NC,,,,,,,,,3,0.33,0.79,38.97,7,0.39,1.50,41.76
troublé,7,ADJ,,,,,1,0.00,0.36,35.59,7,0.58,3.03,44.82,4,0.35,0.77,38.86
troublé,7,VER,,,,,1,0.00,0.20,33.08,3,0.33,0.78,38.92,8,0.52,2.24,43.50
troublée,8,ADJ,,,,,,,,,3,0.33,0.79,38.96,3,0.28,0.47,36.76
troublée,8,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
trouble-fête,12,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
troublent,9,VER,,,,,1,0.00,0.34,35.35,2,0.21,0.36,35.61,3,0.28,0.47,36.74
troubler,8,VER,1,0.00,0.43,36.31,2,0.27,1.82,42.61,14,0.64,6.62,48.21,17,0.61,5.49,47.40
troubles,8,ADJ,,,,,,,,,2,0.21,0.34,35.33,1,0.00,0.01,18.88
troubles,8,VER,,,,,,,,,1,0.00,0.01,21.66,2,0.17,0.20,33.11
troublés,8,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
troublés,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
troublez,8,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
troublons,9,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
troue,5,VER,,,,,,,,,8,0.22,1.42,41.51,8,0.18,0.85,39.30
troué,5,ADJ,1,0.00,0.62,37.95,2,0.27,1.95,42.91,3,0.33,0.78,38.91,6,0.45,1.45,41.62
trouée,6,ADJ,2,0.27,3.97,45.99,,,,,4,0.42,1.26,40.99,5,0.40,1.08,40.35
trouée,6,NC,,,,,,,,,3,0.33,0.76,38.82,2,0.17,0.21,33.23
trouée,6,VER,,,,,,,,,2,0.21,0.35,35.46,4,0.35,0.76,38.81
trouées,7,ADJ,,,,,,,,,3,0.33,0.77,38.88,3,0.28,0.47,36.69
trouées,7,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
trouent,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
trouer,6,VER,,,,,1,0.00,0.20,33.09,3,0.33,0.77,38.85,4,0.35,0.76,38.81
troués,6,ADJ,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
trouillard,10,NC,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
trouille,8,NC,,,,,3,0.00,0.51,37.11,2,0.21,0.36,35.54,5,0.24,0.67,38.24
trouilles,9,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
troupe,6,NC,5,0.63,19.03,52.79,4,0.41,5.15,47.12,60,0.74,32.63,55.14,69,0.70,25.72,54.10
troupeau,8,NC,11,0.79,51.41,57.11,18,0.70,37.33,55.72,93,0.81,54.67,57.38,122,0.80,51.63,57.13
troupeaux,9,NC,,,,,5,0.63,9.38,49.72,40,0.81,23.55,53.72,45,0.73,17.44,52.42
troupes,7,NC,1,0.00,0.52,37.18,1,0.00,0.25,33.94,14,0.64,6.64,48.22,16,0.59,5.01,47.00
trous,5,NC,12,0.65,47.41,56.76,13,0.67,25.99,54.15,52,0.83,31.37,54.97,77,0.82,33.25,55.22
troussa,7,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
troussai,8,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
trousse,7,NC,12,0.70,50.59,57.04,6,0.61,10.86,50.36,27,0.71,13.97,51.45,45,0.76,18.00,52.55
trousseau,9,NC,,,,,,,,,3,0.33,0.78,38.90,3,0.28,0.47,36.71
trousseaux,10,NC,,,,,,,,,2,0.21,0.35,35.41,2,0.17,0.21,33.18
trousses,8,NC,,,,,1,0.00,0.22,33.41,14,0.61,6.36,48.04,15,0.54,4.35,46.38
trouva,6,VER,13,0.47,39.12,55.92,30,0.75,65.52,58.16,126,0.89,81.33,59.10,169,0.84,75.05,58.75
trouvai,7,VER,,,,,1,0.00,0.36,35.59,17,0.67,8.41,49.25,18,0.58,5.62,47.50
trouvaient,10,VER,5,0.52,16.34,52.13,4,0.41,5.16,47.13,41,0.81,24.09,53.82,50,0.76,19.97,53.00
trouvaille,10,NC,,,,,2,0.27,1.89,42.77,8,0.62,3.68,45.66,10,0.58,3.08,44.88
trouvailles,11,NC,,,,,,,,,6,0.37,1.72,42.36,6,0.31,1.04,40.17
trouvais,8,VER,,,,,,,,,25,0.72,13.23,51.22,25,0.60,8.06,49.06
trouvait,8,VER,5,0.37,12.44,50.95,13,0.79,29.95,54.76,162,0.90,105.56,60.24,180,0.82,77.39,58.89
trouvâmes,9,VER,,,,,1,0.00,0.23,33.69,3,0.33,0.78,38.89,4,0.35,0.76,38.83
trouvant,8,VER,,,,,3,0.25,2.73,44.36,18,0.69,9.12,49.60,21,0.62,6.93,48.41
trouvât,7,VER,,,,,,,,,2,0.21,0.34,35.27,2,0.17,0.20,33.05
trouve,6,VER,134,0.71,576.24,67.61,443,0.87,1 109.79,70.45,967,0.92,641.42,68.07,1 544,0.90,726.09,68.61
trouvé,6,VER,35,0.84,172.37,62.36,74,0.88,187.70,62.73,210,0.95,144.18,61.59,319,0.93,155.18,61.91
trouvé,6,ADJ,14,0.23,25.23,54.02,4,0.27,3.91,45.92,18,0.48,6.48,48.12,36,0.52,9.95,49.98
trouvée,7,ADJ,,,,,9,0.14,5.11,47.08,19,0.67,9.37,49.72,10,0.16,0.90,39.54
trouvée,7,VER,,,,,7,0.58,12.19,50.86,1,0.00,0.02,22.49,26,0.65,9.03,49.56
trouvées,8,VER,,,,,3,0.25,2.79,44.45,5,0.29,1.10,40.42,8,0.37,1.62,42.10
