FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
muet,4,ADJ,3,0.25,5.39,47.31,6,0.70,12.39,50.93,38,0.81,22.45,53.51,47,0.77,19.06,52.80
muets,5,ADJ,,,,,1,0.00,0.36,35.59,11,0.68,5.51,47.41,12,0.59,3.81,45.80
muette,6,ADJ,1,0.00,0.37,35.74,9,0.59,16.12,52.07,39,0.73,20.83,53.19,49,0.70,18.13,52.58
muettes,7,ADJ,1,0.00,0.35,35.42,1,0.00,0.17,32.34,13,0.58,5.58,47.46,15,0.54,4.34,46.37
mufle,5,NC,2,0.00,1.01,40.04,,,,,14,0.41,4.30,46.33,16,0.39,3.39,45.30
mufles,6,NC,,,,,,,,,3,0.00,0.09,29.46,3,0.00,0.05,26.67
mugir,5,VER,,,,,1,0.00,0.34,35.35,3,0.19,0.49,36.87,4,0.26,0.59,37.71
mugissait,9,VER,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
mugissant,9,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
mugissante,10,ADJ,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
mugissement,11,NC,,,,,,,,,2,0.21,0.35,35.40,2,0.17,0.21,33.17
mugissements,12,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
mugissent,9,VER,,,,,2,0.27,1.97,42.95,1,0.00,0.05,26.54,3,0.28,0.46,36.67
mugit,5,VER,,,,,,,,,2,0.21,0.36,35.56,2,0.17,0.21,33.32
muguet,6,NC,12,0.83,58.89,57.70,5,0.41,6.57,48.17,21,0.58,8.95,49.52,38,0.71,14.24,51.54
muguets,7,NC,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
mukoki,6,NP,,,,,,,,,7,0.00,0.16,32.17,7,0.00,0.09,29.39
mulâtre,7,ADJ,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
mule,4,NC,25,0.17,31.62,55.00,3,0.25,2.59,44.13,50,0.37,14.39,51.58,78,0.44,18.29,52.62
mules,5,NC,,,,,,,,,11,0.35,3.09,44.91,11,0.29,1.87,42.71
mulet,5,NC,2,0.27,3.83,45.83,1,0.00,0.36,35.59,4,0.42,1.26,41.02,7,0.49,1.83,42.62
mulets,6,NC,,,,,,,,,5,0.15,0.68,38.35,5,0.13,0.41,36.08
mulhouse,8,NP,,,,,,,,,2,0.21,0.35,35.50,2,0.17,0.21,33.26
muller,6,NP,,,,,1,0.00,0.36,35.59,1,0.00,0.03,24.35,2,0.17,0.20,33.09
mulot,5,NC,3,0.00,1.27,41.03,9,0.38,11.00,50.41,6,0.40,1.83,42.63,18,0.49,4.67,46.69
mulots,6,NC,1,0.00,0.38,35.77,6,0.18,4.05,46.07,6,0.47,2.10,43.23,13,0.46,3.20,45.06
multicolore,11,ADJ,,,,,,,,,12,0.51,4.63,46.66,12,0.43,2.81,44.49
multicolores,12,ADJ,3,0.43,8.46,49.28,7,0.39,9.20,49.64,18,0.79,10.36,50.15,28,0.73,10.86,50.36
multilatéraux,13,ADJ,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
multimédia,10,ADJ,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
multimillionnaire,17,ADJ,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
multiple,8,ADJ,,,,,,,,,3,0.00,0.14,31.31,3,0.00,0.07,28.53
multiples,9,ADJ,,,,,,,,,13,0.62,5.95,47.74,13,0.52,3.62,45.58
multiplia,9,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
multipliaient,13,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
multipliait,11,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
multiplication,14,NC,,,,,,,,,9,0.57,3.76,45.75,9,0.47,2.28,43.59
multiplications,15,NC,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
multiplie,9,VER,,,,,,,,,5,0.48,1.81,42.56,5,0.40,1.09,40.39
multiplié,9,VER,,,,,,,,,2,0.21,0.35,35.42,2,0.17,0.21,33.19
multiplier,10,VER,,,,,1,0.00,0.36,35.59,3,0.33,0.77,38.89,4,0.35,0.77,38.85
multipliés,10,VER,,,,,,,,,3,0.19,0.48,36.79,3,0.16,0.29,34.56
multipliez,10,VER,,,,,,,,,2,0.21,0.36,35.55,2,0.17,0.21,33.31
multipolaire,12,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
multipolaires,13,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
multiprise,10,NC,,,,,,,,,5,0.00,0.23,33.53,5,0.00,0.12,30.75
multitude,9,NC,,,,,1,0.00,0.36,35.59,8,0.57,3.37,45.28,9,0.51,2.46,43.92
multon,6,NP,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
muni,4,VER,,,,,3,0.43,4.05,46.07,19,0.74,10.34,50.15,22,0.67,7.87,48.96
municipal,9,ADJ,,,,,1,0.00,0.07,28.63,24,0.67,11.93,50.77,25,0.58,7.80,48.92
municipale,10,ADJ,,,,,,,,,9,0.47,3.20,45.05,9,0.40,1.94,42.88
municipales,11,ADJ,1,0.00,0.61,37.82,,,,,2,0.00,0.02,22.94,3,0.16,0.26,34.21
municipalité,12,NC,2,0.00,0.75,38.75,,,,,7,0.44,2.37,43.74,9,0.42,2.06,43.13
municipaux,10,ADJ,1,0.00,0.37,35.74,,,,,,,,,1,0.00,0.00,14.84
munie,5,VER,,,,,,,,,7,0.41,2.18,43.38,7,0.34,1.32,41.20
munies,6,VER,,,,,1,0.00,0.34,35.35,1,0.00,0.05,26.54,2,0.17,0.21,33.25
munir,5,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
munis,5,VER,,,,,1,0.00,0.34,35.35,10,0.61,4.48,46.51,11,0.54,3.16,45.00
munis,5,ADJ,,,,,,,,,3,0.33,0.78,38.91,3,0.28,0.47,36.72
munissez,8,VER,,,,,2,0.00,0.41,36.10,1,0.00,0.03,24.41,3,0.16,0.27,34.38
munit,5,VER,,,,,1,0.00,0.34,35.35,1,0.00,0.02,23.95,2,0.17,0.20,33.06
munition,8,NC,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
munitions,9,NC,,,,,,,,,4,0.21,0.75,38.76,4,0.17,0.45,36.51
muqueuse,8,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
mur,3,NC,40,0.83,195.94,62.92,100,0.74,218.61,63.40,241,0.94,163.74,62.14,381,0.90,179.63,62.54
mur,3,NP,,,,,3,0.43,4.10,46.13,,,,,3,0.28,0.45,36.55
mûr,3,ADJ,1,0.00,0.37,35.74,4,0.54,6.62,48.21,22,0.75,12.04,50.81,27,0.71,10.07,50.03
mura,4,VER,,,,,,,,,3,0.19,0.52,37.14,3,0.16,0.31,34.88
muraient,8,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
muraille,8,NC,3,0.25,5.43,47.35,,,,,34,0.73,18.31,52.63,37,0.65,12.75,51.06
murailles,9,NC,3,0.25,5.36,47.29,,,,,15,0.45,5.04,47.03,18,0.45,4.36,46.40
mural,5,ADJ,,,,,1,0.00,0.22,33.41,1,0.00,0.04,26.11,2,0.17,0.21,33.14
murale,6,ADJ,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
murales,7,ADJ,,,,,,,,,2,0.21,0.33,35.22,2,0.17,0.20,33.01
murchison,9,NP,,,,,,,,,3,0.00,0.07,28.49,3,0.00,0.04,25.71
murdoch,7,NP,,,,,,,,,3,0.00,0.05,26.96,3,0.00,0.03,24.18
mûre,4,ADJ,3,0.43,8.36,49.22,5,0.52,7.91,48.98,8,0.52,3.13,44.95,16,0.63,5.35,47.28
mûre,4,NC,1,0.00,0.53,37.27,3,0.25,2.59,44.13,,,,,4,0.26,0.56,37.52
murer,5,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
mûres,5,ADJ,,,,,1,0.00,0.34,35.35,13,0.50,4.92,46.92,14,0.45,3.45,45.38
mûres,5,NC,5,0.41,12.92,51.11,1,0.00,0.34,35.35,3,0.33,0.78,38.93,9,0.47,2.27,43.57
murés,5,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
muret,5,NC,,,,,,,,,4,0.17,0.65,38.13,4,0.14,0.38,35.85
murets,6,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
murette,7,NC,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
murettes,8,NC,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
mûri,4,VER,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
muridés,7,NC,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
mûrie,5,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
muriel,6,NP,,,,,2,0.00,0.69,38.36,4,0.17,0.58,37.67,6,0.25,0.86,39.35
mûrier,6,NC,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
mûriers,7,NC,,,,,,,,,1,0.00,0.02,22.07,1,0.00,0.01,19.29
murillo,7,NP,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
mûrir,5,VER,2,0.27,3.90,45.91,,,,,9,0.46,3.15,44.99,11,0.46,2.77,44.42
mûrissait,9,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
mûrissants,10,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
mûrissent,9,VER,,,,,,,,,3,0.19,0.47,36.74,3,0.16,0.28,34.51
mûrit,5,VER,,,,,1,0.00,0.34,35.35,2,0.21,0.35,35.44,3,0.28,0.47,36.68
murmura,7,VER,3,0.25,5.49,47.39,13,0.86,32.23,55.08,60,0.75,32.97,55.18,76,0.75,30.14,54.79
murmurai,8,VER,,,,,,,,,3,0.19,0.48,36.84,3,0.16,0.29,34.61
murmuraient,11,VER,,,,,,,,,2,0.21,0.35,35.50,2,0.17,0.21,33.27
murmurait,9,VER,,,,,1,0.00,0.25,33.94,4,0.42,1.27,41.03,5,0.40,1.10,40.40
murmurant,9,VER,,,,,2,0.27,1.85,42.68,3,0.33,0.76,38.78,5,0.40,1.08,40.35
murmurant,9,ADJ,,,,,1,0.00,0.36,35.59,,,,,1,0.00,0.01,20.87
murmure,7,VER,5,0.52,16.26,52.11,7,0.68,14.11,51.49,27,0.74,14.65,51.66,18,0.62,5.91,47.72
murmure,7,NC,5,0.52,16.28,52.12,6,0.48,8.97,49.53,6,0.30,1.43,41.55,38,0.73,14.73,51.68
murmuré,7,VER,,,,,1,0.00,0.36,35.59,1,0.00,0.05,27.04,2,0.17,0.21,33.31
murmurent,9,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
murmurer,8,VER,,,,,5,0.26,4.72,46.74,13,0.64,6.15,47.89,18,0.58,5.59,47.47
murmurèrent,11,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
murmures,8,NC,,,,,1,0.00,0.36,35.59,3,0.19,0.48,36.83,4,0.26,0.59,37.69
murs,4,NC,14,0.56,48.93,56.90,25,0.84,60.73,57.83,124,0.92,82.52,59.17,163,0.88,74.96,58.75
mûrs,4,ADJ,1,0.00,0.42,36.25,7,0.58,12.04,50.80,8,0.52,3.13,44.95,16,0.60,5.10,47.08
musaraigne,10,NC,,,,,7,0.45,9.85,49.94,16,0.23,3.07,44.87,23,0.38,4.74,46.76
musaraignes,11,NC,,,,,1,0.00,0.19,32.89,1,0.00,0.03,24.35,2,0.17,0.20,32.99
musard,6,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
musardez,8,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
muscade,7,NC,,,,,,,,,6,0.30,1.43,41.56,6,0.25,0.86,39.36
muscat,6,NC,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
muscats,7,NC,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
muscle,6,NC,1,0.00,0.42,36.25,2,0.27,1.94,42.87,1,0.00,0.02,22.40,4,0.35,0.75,38.74
musclé,6,ADJ,,,,,2,0.00,0.58,37.62,4,0.21,0.70,38.45,6,0.28,0.93,39.67
musclé,6,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
musclée,7,ADJ,,,,,3,0.00,0.87,39.38,,,,,3,0.00,0.03,24.67
musclées,8,ADJ,,,,,1,0.00,0.20,33.08,4,0.42,1.25,40.97,5,0.40,1.09,40.36
muscler,7,VER,,,,,,,,,2,0.00,0.07,28.57,2,0.00,0.04,25.79
muscles,7,NC,3,0.43,8.36,49.22,6,0.39,7.90,48.98,25,0.70,12.83,51.08,34,0.68,12.35,50.92
musclés,7,ADJ,1,0.00,0.42,36.25,1,0.00,0.29,34.61,3,0.33,0.80,39.01,5,0.40,1.10,40.42
musculation,11,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
musculature,11,NC,,,,,,,,,3,0.33,0.79,38.97,3,0.28,0.48,36.78
muse,4,NC,,,,,1,0.00,0.19,32.89,2,0.21,0.35,35.44,3,0.28,0.46,36.64
museau,6,NC,10,0.52,32.21,55.08,42,0.83,101.36,60.06,69,0.85,42.76,56.31,121,0.84,53.69,57.30
museaux,7,NC,,,,,,,,,2,0.21,0.35,35.39,2,0.17,0.21,33.16
musée,5,NC,3,0.43,8.39,49.24,18,0.28,17.03,52.31,120,0.74,64.45,58.09,141,0.67,50.24,57.01
musées,6,NC,,,,,1,0.00,0.25,33.94,22,0.72,11.63,50.66,23,0.62,7.61,48.82
muselière,9,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
muséographique,14,ADJ,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
muséographiques,15,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
muser,5,VER,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
musette,7,NC,,,,,2,0.00,0.58,37.62,11,0.42,3.52,45.47,13,0.41,2.87,44.58
muséum,6,NC,,,,,2,0.27,1.82,42.60,2,0.21,0.36,35.51,4,0.35,0.76,38.81
musical,7,ADJ,4,0.00,1.50,41.76,3,0.25,2.59,44.13,5,0.48,1.82,42.60,12,0.48,3.06,44.86
musicale,8,ADJ,,,,,1,0.00,0.20,33.08,7,0.38,2.06,43.14,8,0.37,1.64,42.15
musicales,9,ADJ,,,,,3,0.00,0.22,33.40,2,0.21,0.35,35.43,5,0.24,0.65,38.16
musicalité,10,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
musicaux,8,ADJ,,,,,,,,,4,0.42,1.28,41.08,4,0.35,0.78,38.90
music-hall,10,NC,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
musicien,8,NC,9,0.56,30.70,54.87,3,0.43,3.95,45.97,37,0.80,21.55,53.33,49,0.76,19.67,52.94
musicien,8,ADJ,,,,,1,0.00,0.29,34.61,6,0.54,2.40,43.80,7,0.49,1.83,42.63
musicienne,10,ADJ,,,,,2,0.00,0.44,36.42,8,0.38,2.35,43.72,10,0.38,2.08,43.18
musicienne,10,NC,1,0.00,0.62,37.95,,,,,2,0.21,0.34,35.31,3,0.28,0.46,36.58
musiciennes,11,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
musiciens,9,NC,,,,,10,0.31,11.09,50.45,25,0.72,13.22,51.21,35,0.64,11.87,50.75
musiciens,9,ADJ,,,,,1,0.00,0.36,35.59,1,0.00,0.02,23.94,2,0.17,0.20,33.07
musi-musou,10,NP,,,,,12,0.00,2.33,43.68,,,,,12,0.00,0.08,28.97
musique,7,NC,50,0.78,232.04,63.66,63,0.87,157.69,61.98,276,0.87,175.10,62.43,389,0.87,178.71,62.52
musiques,8,NC,,,,,,,,,6,0.54,2.42,43.83,6,0.45,1.47,41.67
muskwa,6,NP,,,,,,,,,7,0.00,0.17,32.41,7,0.00,0.09,29.62
musquée,7,ADJ,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
musqués,7,ADJ,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.26
musset,6,NP,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
mustang,7,NC,,,,,,,,,4,0.17,0.57,37.54,4,0.14,0.34,35.31
mustangs,8,NC,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.25
mustapha,8,NP,,,,,1,0.00,0.36,35.59,11,0.27,2.37,43.76,12,0.28,1.88,42.74
musu,4,NP,,,,,,,,,3,0.00,0.07,28.73,3,0.00,0.04,25.94
musulman,8,ADJ,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
musulmane,9,ADJ,,,,,,,,,2,0.00,0.06,27.42,2,0.00,0.03,24.64
musulmans,9,ADJ,,,,,,,,,5,0.32,1.26,41.02,1,0.00,0.01,21.65
musulmans,9,NC,,,,,,,,,1,0.00,0.03,24.43,5,0.26,0.76,38.82
muté,4,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
mutilations,11,NC,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
mutilés,7,ADJ,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
mutilez,7,VER,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
mutin,5,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
mutinerie,9,NC,,,,,1,0.00,0.22,33.41,1,0.00,0.02,23.48,2,0.17,0.20,32.96
mutins,6,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
mutins,6,NC,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
mutisme,7,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
mutuel,6,ADJ,,,,,,,,,3,0.33,0.79,38.95,3,0.28,0.47,36.76
mutuelle,8,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
mutuellement,12,ADV,,,,,,,,,2,0.21,0.35,35.48,2,0.17,0.21,33.25
mützi,5,NP,,,,,2,0.00,0.69,38.36,,,,,2,0.00,0.02,23.65
mycologie,9,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
myeko,5,NP,,,,,,,,,36,0.00,1.06,40.25,36,0.00,0.56,37.47
mygale,6,NC,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.25
mygales,7,NC,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
mykonos,7,NP,,,,,,,,,2,0.00,0.06,27.70,2,0.00,0.03,24.91
mylène,6,NP,,,,,,,,,2,0.21,0.35,35.49,2,0.17,0.21,33.26
myline,6,NP,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
myope,5,ADJ,3,0.25,5.24,47.19,,,,,4,0.42,1.25,40.98,7,0.44,1.64,42.14
myope,5,NC,,,,,,,,,3,0.19,0.45,36.56,3,0.16,0.27,34.36
myosotis,8,NC,1,0.00,0.42,36.25,2,0.27,1.98,42.98,7,0.44,2.33,43.67,10,0.49,2.65,44.23
myriam,6,NP,,,,,1,0.00,0.17,32.34,2,0.21,0.35,35.47,3,0.28,0.46,36.65
myrmidon,8,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
myrte,5,NC,,,,,,,,,3,0.19,0.49,36.86,3,0.16,0.29,34.63
myrtille,8,NC,,,,,1,0.00,0.19,32.89,2,0.00,0.05,26.95,3,0.16,0.28,34.44
myrtilles,9,NC,,,,,,,,,5,0.40,1.50,41.76,5,0.33,0.91,39.58
mystère,7,NC,1,0.00,0.15,31.86,48,0.24,40.79,56.11,88,0.75,48.12,56.82,137,0.63,45.65,56.59
mystères,8,NC,,,,,1,0.00,0.34,35.35,9,0.47,3.18,45.02,10,0.44,2.36,43.72
mystérieuse,11,ADJ,5,0.20,7.97,49.01,3,0.43,4.02,46.04,22,0.79,12.64,51.02,30,0.72,11.43,50.58
mystérieusement,15,ADV,,,,,,,,,8,0.57,3.42,45.34,8,0.48,2.08,43.18
mystérieuses,12,ADJ,,,,,2,0.27,1.82,42.61,32,0.34,8.48,49.28,34,0.33,6.28,47.98
mystérieux,10,ADJ,3,0.00,1.87,42.72,13,0.73,28.10,54.49,56,0.88,35.90,55.55,72,0.82,31.07,54.92
mythe,5,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
mythes,6,NC,,,,,,,,,2,0.21,0.35,35.48,2,0.17,0.21,33.25
mythique,8,ADJ,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
mythologie,10,NC,,,,,,,,,4,0.42,1.28,41.09,4,0.35,0.78,38.91
mythologiques,13,ADJ,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
mytyl,5,NP,,,,,,,,,37,0.00,0.69,38.40,37,0.00,0.37,35.62
n',2,ADV,580,0.93,3 152.03,74.99,1 556,0.96,4 261.08,76.30,5 972,0.97,4 166.86,76.20,8 108,0.94,3 990.97,76.01
na,2,INT,,,,,4,0.41,5.24,47.19,2,0.21,0.33,35.22,6,0.39,1.26,41.02
nables,6,NC,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
nabou,5,NP,,,,,,,,,3,0.00,0.09,29.46,3,0.00,0.05,26.67
nabounassar,11,NP,,,,,,,,,27,0.00,0.79,39.00,27,0.00,0.42,36.22
nacelle,7,NC,1,0.00,0.53,37.27,,,,,3,0.19,0.49,36.89,4,0.26,0.59,37.67
nacre,5,NC,,,,,,,,,2,0.00,0.08,29.12,2,0.00,0.04,26.34
nacrée,6,ADJ,,,,,,,,,2,0.00,0.06,27.42,2,0.00,0.03,24.64
nacrées,7,ADJ,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
nadège,6,NP,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
nadia,5,NP,1,0.00,0.61,37.86,,,,,12,0.27,2.48,43.94,13,0.27,1.95,42.91
nadine,6,NP,,,,,3,0.25,2.83,44.51,6,0.40,1.84,42.66,9,0.43,2.13,43.27
nadlouk,7,NP,,,,,,,,,3,0.00,0.08,29.12,3,0.00,0.04,26.34
nafoubognon,11,NP,,,,,,,,,6,0.00,0.09,29.44,6,0.00,0.05,26.66
nage,4,VER,15,0.70,63.28,58.01,15,0.77,33.60,55.26,37,0.69,18.86,52.76,59,0.81,25.19,54.01
nage,4,NC,2,0.27,3.96,45.98,3,0.43,4.11,46.14,29,0.75,15.94,52.02,42,0.65,14.52,51.62
nagé,4,VER,1,0.00,0.61,37.82,2,0.00,0.49,36.95,3,0.33,0.77,38.84,6,0.39,1.27,41.03
nagea,5,VER,1,0.00,0.62,37.95,3,0.25,2.60,44.16,4,0.31,1.01,40.02,8,0.43,1.88,42.74
nageaient,9,VER,,,,,,,,,6,0.47,2.14,43.31,6,0.39,1.30,41.14
nageais,7,VER,,,,,,,,,2,0.21,0.37,35.70,2,0.17,0.22,33.45
nageait,7,VER,1,0.00,0.53,37.27,2,0.00,0.72,38.60,9,0.57,3.80,45.79,12,0.54,3.45,45.37
nageant,7,VER,2,0.27,3.95,45.96,1,0.00,0.20,33.08,8,0.52,3.08,44.89,11,0.54,3.15,44.98
nageant,7,ADJ,1,0.00,0.50,37.03,,,,,4,0.31,0.97,39.87,5,0.33,0.91,39.61
nagent,6,VER,,,,,8,0.42,11.00,50.41,10,0.65,4.77,46.79,18,0.59,5.68,47.54
nageoire,8,NC,5,0.41,13.65,51.35,6,0.52,9.61,49.83,13,0.48,4.71,46.73,24,0.61,7.75,48.89
nageoires,9,NC,3,0.00,1.82,42.59,5,0.41,6.57,48.18,16,0.48,5.74,47.59,24,0.54,6.87,48.37
nageons,7,VER,1,0.00,0.62,37.95,1,0.00,0.23,33.69,2,0.21,0.35,35.45,4,0.35,0.76,38.80
nager,5,VER,13,0.55,44.53,56.49,33,0.76,73.39,58.66,78,0.87,48.99,56.90,124,0.84,54.93,57.40
nagera,6,VER,,,,,3,0.25,2.73,44.36,,,,,3,0.16,0.27,34.37
nagerai,7,VER,,,,,,,,,2,0.21,0.35,35.45,2,0.17,0.21,33.22
nagerait,8,VER,,,,,,,,,2,0.21,0.34,35.28,2,0.17,0.20,33.06
nageras,7,VER,,,,,,,,,2,0.00,0.05,26.61,2,0.00,0.02,23.83
nagèrent,8,VER,,,,,,,,,2,0.21,0.34,35.29,2,0.17,0.20,33.07
nageront,8,VER,,,,,1,0.00,0.23,33.69,,,,,1,0.00,0.01,18.98
nages,5,NC,,,,,,,,,3,0.33,0.76,38.80,1,0.00,0.02,23.76
nages,5,VER,3,0.25,5.53,47.43,,,,,1,0.00,0.05,26.54,6,0.39,1.26,41.00
nageur,6,NC,4,0.41,10.59,50.25,5,0.52,8.01,49.03,20,0.49,7.33,48.65,29,0.59,9.02,49.55
nageurs,7,NC,,,,,1,0.00,0.25,33.94,3,0.33,0.78,38.93,4,0.35,0.77,38.86
nageuse,7,NC,,,,,2,0.27,1.86,42.69,1,0.00,0.01,21.66,3,0.28,0.45,36.52
nagions,7,VER,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
naguère,7,ADV,,,,,,,,,5,0.40,1.56,41.94,5,0.33,0.95,39.76
naïf,4,ADJ,1,0.00,0.52,37.18,3,0.25,2.66,44.25,4,0.31,0.97,39.86,8,0.43,1.86,42.71
naïf,4,NC,,,,,,,,,2,0.00,0.03,25.08,2,0.00,0.02,22.30
naïfs,5,ADJ,1,0.00,0.52,37.18,,,,,3,0.33,0.78,38.93,4,0.35,0.77,38.84
nain,4,NC,16,0.52,50.56,57.04,4,0.41,5.25,47.20,42,0.57,17.85,52.52,62,0.62,20.54,53.13
nain,4,ADJ,,,,,3,0.25,2.70,44.31,6,0.47,2.12,43.27,9,0.47,2.29,43.61
naine,5,ADJ,,,,,3,0.25,2.60,44.15,1,0.00,0.02,23.72,4,0.26,0.57,37.57
naine,5,NC,,,,,2,0.00,0.41,36.09,,,,,2,0.00,0.01,21.38
naines,6,ADJ,,,,,,,,,3,0.19,0.51,37.07,3,0.16,0.30,34.82
nains,5,NC,17,0.09,16.54,52.18,5,0.41,6.68,48.25,18,0.55,7.37,48.67,40,0.51,10.87,50.36
nains,5,ADJ,3,0.00,1.51,41.80,1,0.00,0.22,33.41,6,0.54,2.39,43.79,10,0.49,2.64,44.21
nairobi,7,NP,,,,,,,,,6,0.26,1.33,41.23,6,0.22,0.80,39.01
naismith,8,NP,,,,,,,,,2,0.00,0.03,25.40,2,0.00,0.02,22.62
naissait,8,VER,,,,,,,,,2,0.21,0.35,35.43,2,0.17,0.21,33.20
naissance,9,NC,8,0.65,31.64,55.00,19,0.80,44.05,56.44,64,0.89,41.46,56.18,91,0.87,41.44,56.17
naissances,10,NC,,,,,1,0.00,0.23,33.69,2,0.21,0.34,35.33,3,0.28,0.46,36.61
naissant,8,ADJ,,,,,,,,,2,0.21,0.35,35.44,1,0.00,0.01,21.65
naissant,8,VER,,,,,,,,,1,0.00,0.03,24.43,2,0.17,0.21,33.21
